[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":205,"last_seen":"2026-05-04T14:01:10.473Z","linkquality":69,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.39}'
[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":15.5,"illuminance":9,"last_seen":"2026-05-04T14:01:10.516Z","linkquality":94,"maximum_range":2.1,"minimum_range":0,"presence":false,"radar_sensitivity":8,"target_distance":0}'
[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":10.5,"illuminance":3,"last_seen":"2026-05-04T14:01:10.700Z","linkquality":72,"maximum_range":2.4,"minimum_range":0.6,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-04 11:01:11] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":205,"last_seen":"2026-05-04T14:01:11.474Z","linkquality":58,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.37}'
[2026-05-04 11:01:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":15.5,"illuminance":9,"last_seen":"2026-05-04T14:01:12.099Z","linkquality":91,"maximum_range":2.1,"minimum_range":0,"presence":false,"radar_sensitivity":8,"target_distance":0}'
[2026-05-04 11:01:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":10.5,"illuminance":3,"last_seen":"2026-05-04T14:01:12.099Z","linkquality":72,"maximum_range":2.4,"minimum_range":0.6,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-04 11:01:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Luz Escritório', payload '{"backlight_mode":null,"countdown_l1":0,"countdown_l2":0,"inching_control_set":{"inching_control_1":"DISABLE","inching_control_2":"DISABLE","inching_time_1":0,"inching_time_2":0},"indicator_mode":null,"last_seen":"2026-05-04T14:01:12.359Z","linkquality":65,"power_on_behavior_l1":null,"power_on_behavior_l2":null,"state_l1":"ON","state_l2":"OFF","switch_type":"toggle"}'
[2026-05-04 11:01:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":205,"last_seen":"2026-05-04T14:01:12.473Z","linkquality":65,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.36}'
[2026-05-04 11:01:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/POW Chuveiro Ivan', payload '{"ac_frequency":59.95,"current":0,"energy":5.8,"event":null,"forward_electricity":580,"last_seen":"2026-05-04T14:01:13.412Z","linkquality":54,"over_current_setting":"Alarm","over_current_threshold":50,"over_power_setting":"Ignore","over_power_threshold":2000,"over_voltage_setting":"Alarm","over_voltage_threshold":280,"power":0,"power_factor":0,"temperature":32,"temperature_setting":"Alarm","temperature_threshold":100,"test1":0,"under_voltage_setting":"Alarm","under_voltage_threshold":100,"voltage":224.6}'
[2026-05-04 11:01:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":205,"last_seen":"2026-05-04T14:01:13.473Z","linkquality":58,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.34}'
[2026-05-04 11:01:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":15.5,"illuminance":9,"last_seen":"2026-05-04T14:01:13.685Z","linkquality":91,"maximum_range":2.1,"minimum_range":0,"presence":false,"radar_sensitivity":8,"target_distance":0}'
